100 3
0 1 0 
0 0 1
0 1 2
0 2 3
1 0 0 
1 0 6
1 1 4
1 2 5
2 0 0 
2 0 7
2 1 9
2 2 12
3 0 1 
3 0 13
3 1 13
3 2 0
4 0 1 
4 0 2
4 1 13
4 2 13
5 0 1 
5 0 3
5 1 13
5 2 13
6 1 0 
6 0 11
6 1 8
6 2 10
7 0 1 
7 0 13
7 1 1
7 2 13
8 0 1 
8 0 4
8 1 13
8 2 13
9 1 0 
9 0 14
9 1 17
9 2 22
10 0 1 
10 0 5
10 1 13
10 2 13
11 0 0 
11 0 23
11 1 25
11 2 26
12 0 0 
12 0 15
12 1 18
12 2 20
13 0 0 
13 0 13
13 1 13
13 2 13
14 0 1 
14 0 13
14 1 7
14 2 13
15 0 1 
15 0 13
15 1 16
15 2 13
16 0 0 
16 0 36
16 1 35
16 2 37
17 0 1 
17 0 13
17 1 9
17 2 13
18 0 1 
18 0 13
18 1 19
18 2 13
19 0 0 
19 0 38
19 1 39
19 2 40
20 0 0 
20 0 41
20 1 21
20 2 24
21 1 1 
21 0 13
21 1 45
21 2 13
22 0 1 
22 0 13
22 1 12
22 2 13
23 1 1 
23 0 11
23 1 13
23 2 13
24 0 0 
24 0 67
24 1 70
24 2 44
25 0 1 
25 0 8
25 1 13
25 2 13
26 0 0 
26 0 30
26 1 32
26 2 27
27 0 1 
27 0 28
27 1 13
27 2 13
28 0 1 
28 0 29
28 1 13
28 2 13
29 0 0 
29 0 48
29 1 83
29 2 80
30 0 1 
30 0 31
30 1 13
30 2 13
31 0 0 
31 0 81
31 1 76
31 2 79
32 0 1 
32 0 33
32 1 13
32 2 13
33 0 1 
33 0 34
33 1 13
33 2 13
34 0 0 
34 0 13
34 1 89
34 2 13
35 0 1 
35 0 13
35 1 13
35 2 4
36 0 0 
36 0 46
36 1 47
36 2 49
37 0 1 
37 0 13
37 1 13
37 2 5
38 0 1 
38 0 13
38 1 13
38 2 7
39 0 0 
39 0 50
39 1 52
39 2 54
40 0 0 
40 0 51
40 1 53
40 2 55
41 0 1 
41 0 13
41 1 42
41 2 13
42 0 0 
42 0 43
42 1 64
42 2 65
43 0 1 
43 0 13
43 1 13
43 2 36
44 0 0 
44 0 13
44 1 66
44 2 69
45 0 1 
45 0 13
45 1 13
45 2 19
46 0 1 
46 0 13
46 1 13
46 2 11
47 0 1 
47 0 13
47 1 13
47 2 8
48 1 1 
48 0 42
48 1 13
48 2 13
49 1 1 
49 0 13
49 1 13
49 2 10
50 0 1 
50 0 13
50 1 13
50 2 14
51 0 0 
51 0 59
51 1 60
51 2 62
52 0 1 
52 0 13
52 1 13
52 2 17
53 0 0 
53 0 56
53 1 58
53 2 63
54 1 1 
54 0 13
54 1 13
54 2 22
55 0 1 
55 0 13
55 1 13
55 2 20
56 0 1 
56 0 13
56 1 13
56 2 57
57 0 0 
57 0 18
57 1 13
57 2 13
58 0 0 
58 0 13
58 1 53
58 2 55
59 0 0 
59 0 51
59 1 13
59 2 55
60 0 1 
60 0 13
60 1 13
60 2 61
61 0 1 
61 0 13
61 1 35
61 2 13
62 0 0 
62 0 13
62 1 13
62 2 51
63 0 0 
63 0 13
63 1 13
63 2 53
64 0 0 
64 0 13
64 1 42
64 2 13
65 0 0 
65 0 13
65 1 13
65 2 42
66 1 0 
66 0 13
66 1 13
66 2 13
67 0 1 
67 0 13
67 1 68
67 2 13
68 0 1 
68 0 13
68 1 13
68 2 42
69 0 0 
69 0 13
69 1 13
69 2 44
70 0 1 
70 0 13
70 1 71
70 2 13
71 0 0 
71 0 73
71 1 72
71 2 75
72 0 0 
72 0 13
72 1 71
72 2 43
73 0 1 
73 0 13
73 1 13
73 2 74
74 0 1 
74 0 13
74 1 13
74 2 38
75 0 0 
75 0 13
75 1 13
75 2 71
76 0 1 
76 0 77
76 1 13
76 2 13
77 0 0 
77 0 13
77 1 78
77 2 13
78 0 1 
78 0 16
78 1 13
78 2 13
79 0 0 
79 0 96
79 1 99
79 2 31
80 0 0 
80 0 91
80 1 92
80 2 82
81 0 1 
81 0 90
81 1 13
81 2 13
82 0 0 
82 0 66
82 1 13
82 2 95
83 0 0 
83 0 85
83 1 84
83 2 86
84 0 0 
84 0 13
84 1 88
84 2 93
85 0 1 
85 0 74
85 1 13
85 2 13
86 0 1 
86 0 87
86 1 13
86 2 13
87 0 1 
87 0 13
87 1 13
87 2 40
88 0 0 
88 0 13
88 1 84
88 2 13
89 0 1 
89 0 39
89 1 13
89 2 13
90 0 1 
90 0 36
90 1 13
90 2 13
91 0 1 
91 0 68
91 1 13
91 2 13
92 0 1 
92 0 71
92 1 13
92 2 13
93 0 0 
93 0 13
93 1 13
93 2 94
94 0 0 
94 0 66
94 1 88
94 2 13
95 0 0 
95 0 13
95 1 13
95 2 82
96 0 1 
96 0 97
96 1 13
96 2 13
97 0 0 
97 0 98
97 1 13
97 2 13
98 0 0 
98 0 97
98 1 13
98 2 78
99 0 0 
99 0 13
99 1 79
99 2 13
