100 3
0 1 0 
0 0 1
0 1 2
0 2 3
1 0 0 
1 0 5
1 1 4
1 2 6
2 0 0 
2 0 8
2 1 18
2 2 9
3 0 0 
3 0 10
3 1 11
3 2 19
4 0 0 
4 0 7
4 1 17
4 2 13
5 1 1 
5 0 1
5 1 14
5 2 14
6 0 0 
6 0 12
6 1 15
6 2 16
7 0 1 
7 0 8
7 1 14
7 2 14
8 0 0 
8 0 20
8 1 21
8 2 22
9 0 1 
9 0 14
9 1 3
9 2 14
10 0 0 
10 0 26
10 1 28
10 2 30
11 0 0 
11 0 23
11 1 25
11 2 31
12 0 1 
12 0 10
12 1 14
12 2 14
13 0 1 
13 0 9
13 1 14
13 2 14
14 0 0 
14 0 14
14 1 14
14 2 14
15 0 1 
15 0 11
15 1 14
15 2 14
16 0 1 
16 0 19
16 1 14
16 2 14
17 0 1 
17 0 18
17 1 14
17 2 14
18 1 1 
18 0 14
18 1 2
18 2 14
19 1 0 
19 0 24
19 1 29
19 2 27
20 0 1 
20 0 14
20 1 5
20 2 14
21 0 1 
21 0 14
21 1 4
21 2 14
22 0 1 
22 0 14
22 1 6
22 2 14
23 0 1 
23 0 14
23 1 14
23 2 8
24 0 1 
24 0 14
24 1 14
24 2 10
25 0 0 
25 0 39
25 1 43
25 2 34
26 0 0 
26 0 35
26 1 36
26 2 53
27 0 1 
27 0 14
27 1 14
27 2 19
28 0 0 
28 0 32
28 1 33
28 2 38
29 0 1 
29 0 14
29 1 14
29 2 11
30 0 1 
30 0 14
30 1 14
30 2 6
31 0 0 
31 0 41
31 1 44
31 2 45
32 0 1 
32 0 14
32 1 14
32 2 7
33 0 1 
33 0 14
33 1 14
33 2 17
34 1 1 
34 0 14
34 1 14
34 2 65
35 0 0 
35 0 47
35 1 48
35 2 50
36 0 1 
36 0 14
36 1 14
36 2 37
37 0 1 
37 0 4
37 1 14
37 2 14
38 0 0 
38 0 54
38 1 58
38 2 56
39 0 1 
39 0 14
39 1 14
39 2 40
40 0 1 
40 0 14
40 1 8
40 2 14
41 0 1 
41 0 14
41 1 14
41 2 42
42 0 0 
42 0 73
42 1 74
42 2 75
43 0 0 
43 0 60
43 1 62
43 2 63
44 0 0 
44 0 66
44 1 67
44 2 68
45 0 1 
45 0 14
45 1 14
45 2 46
46 0 0 
46 0 14
46 1 71
46 2 83
47 0 0 
47 0 72
47 1 84
47 2 89
48 0 1 
48 0 14
48 1 14
48 2 49
49 0 1 
49 0 37
49 1 14
49 2 14
50 0 1 
50 0 14
50 1 14
50 2 51
51 0 1 
51 0 52
51 1 14
51 2 14
52 0 1 
52 0 6
52 1 14
52 2 14
53 1 1 
53 0 14
53 1 14
53 2 52
54 0 1 
54 0 14
54 1 14
54 2 55
55 0 0 
55 0 13
55 1 14
55 2 14
56 0 1 
56 0 14
56 1 14
56 2 57
57 0 1 
57 0 46
57 1 14
57 2 14
58 0 1 
58 0 14
58 1 14
58 2 59
59 0 0 
59 0 14
59 1 13
59 2 14
60 0 1 
60 0 14
60 1 14
60 2 61
61 0 1 
61 0 14
61 1 40
61 2 14
62 0 0 
62 0 14
62 1 70
62 2 71
63 0 1 
63 0 14
63 1 14
63 2 64
64 0 1 
64 0 14
64 1 65
64 2 14
65 0 1 
65 0 14
65 1 9
65 2 14
66 0 0 
66 0 80
66 1 77
66 2 81
67 0 0 
67 0 14
67 1 76
67 2 45
68 0 1 
68 0 14
68 1 14
68 2 69
69 0 1 
69 0 14
69 1 31
69 2 14
70 0 0 
70 0 14
70 1 62
70 2 14
71 1 0 
71 0 14
71 1 14
71 2 14
72 0 0 
72 0 94
72 1 14
72 2 14
73 0 1 
73 0 14
73 1 26
73 2 14
74 0 0 
74 0 14
74 1 42
74 2 14
75 0 1 
75 0 14
75 1 30
75 2 14
76 0 0 
76 0 14
76 1 67
76 2 14
77 0 1 
77 0 14
77 1 14
77 2 78
78 0 0 
78 0 14
78 1 79
78 2 14
79 0 1 
79 0 14
79 1 23
79 2 14
80 0 0 
80 0 66
80 1 67
80 2 14
81 0 1 
81 0 14
81 1 14
81 2 82
82 0 0 
82 0 14
82 1 14
82 2 79
83 0 0 
83 0 14
83 1 14
83 2 46
84 0 0 
84 0 90
84 1 85
84 2 14
85 0 1 
85 0 14
85 1 14
85 2 86
86 0 1 
86 0 87
86 1 14
86 2 14
87 0 1 
87 0 88
87 1 14
87 2 14
88 0 1 
88 0 17
88 1 14
88 2 14
89 1 0 
89 0 91
89 1 99
89 2 95
90 0 0 
90 0 84
90 1 14
90 2 14
91 0 1 
91 0 14
91 1 14
91 2 92
92 0 1 
92 0 93
92 1 14
92 2 14
93 0 0 
93 0 51
93 1 14
93 2 14
94 0 1 
94 0 14
94 1 14
94 2 96
95 0 1 
95 0 14
95 1 14
95 2 98
96 1 0 
96 0 97
96 1 14
96 2 14
97 0 1 
97 0 96
97 1 14
97 2 14
98 0 0 
98 0 87
98 1 14
98 2 14
99 0 1 
99 0 14
99 1 14
99 2 14
