100 3
0 1 1 
0 0 1
0 1 2
0 2 3
1 0 0 
1 0 0
1 1 4
1 2 4
2 0 1 
2 0 5
2 1 6
2 2 7
3 0 1 
3 0 8
3 1 9
3 2 10
4 0 1 
4 0 4
4 1 4
4 2 4
5 0 0 
5 0 4
5 1 1
5 2 4
6 1 0 
6 0 4
6 1 2
6 2 4
7 0 0 
7 0 4
7 1 3
7 2 4
8 0 0 
8 0 4
8 1 4
8 2 1
9 0 1 
9 0 11
9 1 12
9 2 13
10 1 1 
10 0 20
10 1 23
10 2 14
11 0 1 
11 0 15
11 1 17
11 2 19
12 0 0 
12 0 4
12 1 4
12 2 6
13 0 0 
13 0 4
13 1 4
13 2 7
14 0 1 
14 0 44
14 1 45
14 2 31
15 0 0 
15 0 4
15 1 4
15 2 16
16 0 1 
16 0 74
16 1 21
16 2 76
17 0 0 
17 0 4
17 1 4
17 2 18
18 0 1 
18 0 61
18 1 89
18 2 62
19 0 1 
19 0 34
19 1 35
19 2 38
20 0 1 
20 0 22
20 1 24
20 2 27
21 1 1 
21 0 82
21 1 75
21 2 85
22 0 1 
22 0 39
22 1 40
22 2 43
23 0 1 
23 0 30
23 1 32
23 2 33
24 0 0 
24 0 4
24 1 4
24 2 25
25 0 0 
25 0 4
25 1 4
25 2 26
26 0 0 
26 0 2
26 1 4
26 2 4
27 0 0 
27 0 4
27 1 4
27 2 28
28 0 0 
28 0 4
28 1 4
28 2 29
29 0 0 
29 0 3
29 1 4
29 2 4
30 0 1 
30 0 46
30 1 47
30 2 48
31 1 1 
31 0 72
31 1 73
31 2 60
32 0 1 
32 0 54
32 1 49
32 2 87
33 0 1 
33 0 57
33 1 59
33 2 50
34 0 1 
34 0 63
34 1 66
34 2 70
35 0 0 
35 0 4
35 1 4
35 2 36
36 0 1 
36 0 4
36 1 37
36 2 4
37 0 0 
37 0 4
37 1 29
37 2 4
38 0 1 
38 0 78
38 1 4
38 2 63
39 0 1 
39 0 22
39 1 4
39 2 4
40 0 0 
40 0 4
40 1 4
40 2 41
41 0 0 
41 0 4
41 1 4
41 2 42
42 0 0 
42 0 26
42 1 4
42 2 4
43 0 0 
43 0 4
43 1 4
43 2 80
44 0 0 
44 0 4
44 1 4
44 2 20
45 0 0 
45 0 4
45 1 4
45 2 23
46 0 0 
46 0 4
46 1 4
46 2 15
47 0 1 
47 0 4
47 1 30
47 2 4
48 0 0 
48 0 4
48 1 4
48 2 19
49 0 0 
49 0 4
49 1 4
49 2 51
50 0 1 
50 0 4
50 1 53
50 2 33
51 0 0 
51 0 4
51 1 4
51 2 52
52 0 1 
52 0 4
52 1 6
52 2 4
53 0 0 
53 0 4
53 1 4
53 2 87
54 0 0 
54 0 4
54 1 4
54 2 55
55 0 0 
55 0 4
55 1 4
55 2 56
56 0 0 
56 0 4
56 1 5
56 2 4
57 0 0 
57 0 4
57 1 4
57 2 58
58 0 1 
58 0 13
58 1 4
58 2 4
59 0 1 
59 0 4
59 1 33
59 2 4
60 0 0 
60 0 4
60 1 4
60 2 31
61 0 1 
61 0 18
61 1 4
61 2 4
62 0 1 
62 0 4
62 1 4
62 2 18
63 0 0 
63 0 4
63 1 4
63 2 64
64 0 0 
64 0 4
64 1 65
64 2 4
65 0 1 
65 0 69
65 1 4
65 2 92
66 0 0 
66 0 4
66 1 4
66 2 67
67 0 1 
67 0 4
67 1 68
67 2 4
68 0 0 
68 0 4
68 1 69
68 2 4
69 0 1 
69 0 65
69 1 4
69 2 4
70 0 0 
70 0 4
70 1 4
70 2 71
71 0 1 
71 0 4
71 1 4
71 2 68
72 0 0 
72 0 4
72 1 4
72 2 44
73 0 0 
73 0 4
73 1 4
73 2 45
74 0 1 
74 0 79
74 1 88
74 2 96
75 0 1 
75 0 90
75 1 81
75 2 4
76 0 0 
76 0 4
76 1 77
76 2 4
77 0 0 
77 0 29
77 1 4
77 2 4
78 0 1 
78 0 4
78 1 87
78 2 4
79 0 1 
79 0 97
79 1 86
79 2 4
80 1 0 
80 0 4
80 1 4
80 2 77
81 0 1 
81 0 4
81 1 75
81 2 4
82 0 0 
82 0 4
82 1 83
82 2 4
83 0 0 
83 0 84
83 1 4
83 2 4
84 0 0 
84 0 5
84 1 4
84 2 4
85 0 1 
85 0 4
85 1 4
85 2 81
86 1 1 
86 0 4
86 1 4
86 2 4
87 0 0 
87 0 4
87 1 4
87 2 86
88 0 1 
88 0 4
88 1 91
88 2 4
89 0 0 
89 0 4
89 1 95
89 2 4
90 0 0 
90 0 4
90 1 92
90 2 4
91 0 0 
91 0 4
91 1 93
91 2 4
92 0 1 
92 0 86
92 1 4
92 2 4
93 0 1 
93 0 94
93 1 99
93 2 4
94 0 0 
94 0 92
94 1 4
94 2 4
95 0 1 
95 0 86
95 1 26
95 2 4
96 0 1 
96 0 4
96 1 4
96 2 98
97 0 1 
97 0 79
97 1 4
97 2 4
98 0 1 
98 0 75
98 1 4
98 2 96
99 0 1 
99 0 4
99 1 93
99 2 4
